tweet_id,start,end,tag
1587838606152028160,244,253,toughday
1587833191494197249,51,67,MachineLearning
1587833191494197249,145,154,ECCV2022
1587827825935110144,18,35,EleccionesGT2023
1587827825935110144,99,109,CostaRica
1587822342343835649,26,42,NationalOhioDay
1587821836720537600,9,25,NationalOhioDay
1587821836720537600,173,183,IntelOhio
1587802649088479233,127,148,hces_computerscience
1587802649088479233,149,160,huskypride
1587802649088479233,162,170,gaetc22
1587802649088479233,171,187,computerscience
1587802379868688387,18,35,EleccionesGT2023
1587802379868688387,99,109,CostaRica
1587733956614422528,165,168,ad
1587733956614422528,169,175,audio
1587733956614422528,176,184,ledwall
1587733956614422528,185,196,leddisplay
1587733956614422528,197,204,ledart
1587733956614422528,206,216,ledscreen
1587733956614422528,217,228,ledscreens
1587733956614422528,229,246,leddisplayscreen
1587733956614422528,247,257,ledrental
1587733956614422528,258,268,fullcolor
1587733956614422528,269,274,sign
1587733956614422528,275,279,led
1587714904378806273,45,48,3C
1587688835231625216,219,222,ad
1587688835231625216,223,229,audio
1587688835231625216,230,238,ledwall
1587688835231625216,239,250,leddisplay
1587688835231625216,251,258,ledart
1587688835231625216,260,270,ledscreen
1587688835231625216,271,275,led
1587678405205671936,18,35,EleccionesGT2023
1587678405205671936,99,109,CostaRica
1587672778198896640,18,35,EleccionesGT2023
1587672778198896640,99,109,CostaRica
1587664730629496834,18,35,EleccionesGT2023
1587664730629496834,99,109,CostaRica
1587648648812412928,18,35,EleccionesGT2023
1587648648812412928,99,109,CostaRica
1587632352641093632,102,117,computervision
1587632352641093632,118,121,ml
1587632352641093632,122,131,computer
1587632352641093632,132,135,cv
1587632352641093632,136,143,vision
1587597076459814912,18,35,EleccionesGT2023
1587597076459814912,99,109,CostaRica
1587596669973045249,18,35,EleccionesGT2023
1587596669973045249,99,109,CostaRica
1587590412872880129,18,35,EleccionesGT2023
1587590412872880129,99,109,CostaRica
1587581602808434694,18,35,EleccionesGT2023
1587581602808434694,99,109,CostaRica
1587557802737819649,18,35,EleccionesGT2023
1587557802737819649,99,109,CostaRica
1587549331346935809,237,240,AI
1587549331346935809,241,244,ML
1587549331346935809,245,261,MachineLearning
1587527452901150720,18,35,EleccionesGT2023
1587527452901150720,99,109,CostaRica
1587516664232525824,18,35,EleccionesGT2023
1587516664232525824,99,109,CostaRica
1587516474691821570,18,35,EleccionesGT2023
1587516474691821570,99,109,CostaRica
1587515647394807809,18,35,EleccionesGT2023
1587515647394807809,99,109,CostaRica
1587515245102354436,18,35,EleccionesGT2023
1587515245102354436,99,109,CostaRica
1587513153042395136,3,20,EleccionesGT2023
1587513153042395136,84,94,CostaRica
1587513153042395136,209,219,Guatemala
1587478326695923712,237,256,lcpselevateloudoun
1587478326695923712,257,268,iwork4dell
1587470665526915073,256,267,Industry40
1587470665526915073,268,272,UAV
1587464736681107457,67,76,yourNETA
1587457069405581314,192,197,news
1587457069405581314,198,208,imrankhan
1587457069405581314,209,223,primeminister
1587457069405581314,224,233,software
1587457069405581314,234,241,gadget
1587457069405581314,242,254,programming
1587457069405581314,255,267,electronics
1587457069405581314,268,277,computer
1587425912017911810,179,188,Advanced
1587425912017911810,189,205,ComputerScience
1587422763819597830,67,76,yourNETA
1587421701981077511,53,62,yourNETA
1587416081567817728,91,102,montecarlo
1587408102596509697,258,281,digitalinvestigators22
