Document Title,Authors,Author Affiliations,Publication Title,Publication Year,Start Page,End Page,PDF Link,Author Keywords,Reference Count,Publisher,Document Identifier
Big problems in industry (panel),J. Penix,"Google, USA",2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE),2013,3,3,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693060,,,IEEE,IEEE Conferences
Toward Practical Automatic Program Repair,A. Ghanbari,University of Texas at Dallas,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1262,1264,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952355,Program Repair;JVM Bytecode;Mutation Testing,54,IEEE,IEEE Conferences
TsmartGP: A Tool for Finding Memory Defects with Pointer Analysis,Y. Wang; G. Chen; M. Zhou; M. Gu; J. Sun,Tsinghua University; Tsinghua University; Tsinghua University; Tsinghua University; Tsinghua University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1170,1173,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952426,pointer analysis;uninitialized pointer;sensitivity;multi-entry,12,IEEE,IEEE Conferences
Retrieve and Refine: Exemplar-Based Neural Comment Generation,B. Wei,Peking University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1250,1252,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952536,comment generation;program comprehension;deep learning,21,IEEE,IEEE Conferences
Humanoid: A Deep Learning-Based Approach to Automated Black-box Android App Testing,Y. Li; Z. Yang; Y. Guo; X. Chen,Peking University; Peking University; Peking University; Peking University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1070,1073,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952324,software testing;automated test input generation;graphical user interface;deep learning;mobile application;Android,14,IEEE,IEEE Conferences
A Machine Learning Based Approach to Identify SQL Injection Vulnerabilities,K. Zhang,Wayne State University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1286,1288,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952467,Deep learning;prediction model;SQL injection;vulnerability,18,IEEE,IEEE Conferences
Test Automation and Its Limitations: A Case Study,A. Sung; S. Kim; Y. Kim; Y. Jang; J. Kim,Samsung Electronics; Samsung Electronics; Samsung Electronics; Samsung Electronics; Samsung Electronics,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1208,1209,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952292,"embedded system, software layer, integration test, test automation",19,IEEE,IEEE Conferences
PHANTA: Diversified Test Code Quality Measurement for Modern Software Development,S. Tokumoto; K. Takayama,Fujitsu Laboratories Ltd.; Fujitsu Laboratories Ltd.,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1206,1207,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952538,Software Testing;Test Code;Mutation Testing,6,IEEE,IEEE Conferences
Enabling Continuous Improvement of a Continuous Integration Process,C. Vassallo,University of Zurich,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1246,1249,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952505,"Continuous Integration, Build Failures, Anti patterns, Best Practices",26,IEEE,IEEE Conferences
Better Development of Safety Critical Systems: Chinese High Speed Railway System Development Experience Report,Z. Wu; J. Liu; X. Chen,"East China Normal University; East China Normal University; R&D Institute, CASCO Signal Ltd.",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1216,1217,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952294,SysML;Formal Method;Model-Driven;SAT,7,IEEE,IEEE Conferences
User Preference Aware Multimedia Pricing Model using Game Theory and Prospect Theory for Wireless Communications,K. M. Kattiyan Ramamoorthy,San Diego State University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1265,1267,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952218,Network Economics;Game Theory;Prospect Theory;Quality of Experience (QoE);Smart Multimedia Pricing,11,IEEE,IEEE Conferences
Ares: Inferring Error Specifications through Static Analysis,C. Li; M. Zhou; Z. Gu; M. Gu; H. Zhang,Tsinghua University; Tsinghua University; Tsinghua University; Tsinghua University; Tsinghua University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1174,1177,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952222,Error Handling;Error Specification;Static Analysis,12,IEEE,IEEE Conferences
Empirical Study of Python Call Graph,L. Yu,Nanjing University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1274,1276,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952190,"Python, call graph, empirical study, quantitative, qualitative",13,IEEE,IEEE Conferences
Verifying Determinism in Sequential Programs,R. Mudduluru,University of Washington,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1271,1273,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952328,"nondeterminism, type system, verification, specification",9,IEEE,IEEE Conferences
Grading-Based Test Suite Augmentation,J. Osei-Owusu; A. Astorga; L. Butler; T. Xie; G. Challen,University of Illinois at Urbana-Champaign; University of Illinois at Urbana-Champaign; University of Illinois at Urbana-Champaign; Peking University; Ministry of Education; University of Illinois at Urbana-Champaign,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,226,229,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952332,programming education;testing;clustering,14,IEEE,IEEE Conferences
Crowdsourced Report Generation via Bug Screenshot Understanding,S. Yu,Nanjing University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1277,1279,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952296,Crowdsourced Testing;Mobile App Testing;Bug Report Generation,11,IEEE,IEEE Conferences
How Do API Selections Affect the Runtime Performance of Data Analytics Tasks?,Y. Tao; S. Tang; Y. Liu; Z. Xu; S. Qin,Shenzhen University; Shenzhen University; Southern University of Science and Technology; Shenzhen University; Teesside University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,665,668,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952224,"API selection, data analytics, performance optimization, Stack Overflow",11,IEEE,IEEE Conferences
mCUTE: A Model-Level Concolic Unit Testing Engine for UML State Machines,R. Ahmadi; K. Jahed; J. Dingel,Queen's University; Queen's University; Queen's University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1182,1185,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952438,"Concolic Testing, MDE, State machines, Unit Testing, UML",22,IEEE,IEEE Conferences
LIRAT: Layout and Image Recognition Driving Automated Mobile Testing of Cross-Platform,S. Yu; C. Fang; Y. Feng; W. Zhao; Z. Chen,Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1066,1069,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952513,Cross-Platform Testing;Image Recognition;Record and Replay,11,IEEE,IEEE Conferences
Automatic Generation of Graphical User Interface Prototypes from Unrestricted Natural Language Requirements,K. Kolthoff,"Institute for Enterprise Systems (InES), University of Mannheim",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1234,1237,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952477,Graphical;User;Interface;Automatic;GUI;Generation;Processing;Natural;Language;Requirements;Intelligent;Interaction;Prototyping,29,IEEE,IEEE Conferences
SPrinter: A Static Checker for Finding Smart Pointer Errors in C++ Programs,X. Ma; J. Yan; Y. Li; J. Yan; J. Zhang,"Institute of Software, Chinese Academy of Sciences; Institute of Software, Chinese Academy of Sciences; Institute of Software, Chinese Academy of Sciences; Institute of Software, Chinese Academy of Sciences; Institute of Software, Chinese Academy of Sciences",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1122,1125,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952230,C++ Smart Pointer;Memory Error;Coding Styles,12,IEEE,IEEE Conferences
